,cars_semaphore_delay,cars_delay,walker_semaphore_delay,walkers_delay
274,2.73,19.97,1.75,22.49
275,3.43,28.63,2.55,17.53
276,3.63,23.7,2.7,14.9
277,3.37,28.01,1.87,19.58
278,2.17,19.65,1.73,21.79
279,2.28,31.33,2.6,19.27
280,1.5,7.3,2.63,12.74
281,4.81,29.17,2.51,20.21
282,2.53,34.26,4.15,18.2
283,3.72,27.96,2.01,21.9
284,1.9,38.18,2.37,12.62
285,3.43,39.05,-0.05,24.62
286,4.4,20.33,1.04,18.11
287,2.35,30.11,2.26,18.24
288,3.89,32.13,3.16,20.2
289,2.04,28.1,2.87,18.84
290,4.14,33.61,1.17,27.63
291,2.58,31.76,1.45,25.31
292,3.58,34.04,2.05,24.07
293,1.71,39.41,3.78,20.8
294,4.16,31.57,3.04,20.1
295,3.22,22.44,0.61,13.61
296,2.79,34.36,1.74,28.42
297,3.81,31.91,1.16,16.09
298,2.03,33.22,2.21,24.7
299,5.88,27.1,2.92,13.63
300,5.38,36.06,2.28,15.18
301,4.0,34.11,1.12,16.04
302,-0.16,21.85,2.26,20.01
303,2.92,28.0,3.19,11.86
304,3.79,31.6,2.24,21.09
305,3.16,28.12,0.63,26.8
306,3.62,47.17,1.43,23.42
307,3.65,30.58,1.37,22.87
308,2.77,30.34,2.02,17.32
309,5.43,28.9,3.1,22.63
310,3.35,24.68,1.86,23.06
311,3.47,29.52,2.53,27.54
312,2.41,26.33,3.1,24.82
313,4.31,27.7,2.04,21.95
314,2.05,20.52,2.64,12.07
315,2.59,34.22,0.08,13.41
316,2.1,36.0,1.83,24.52
317,5.02,33.36,2.59,23.65
318,2.76,28.26,3.23,31.57
319,4.02,19.27,0.87,16.99
320,3.92,34.17,4.33,18.23
321,3.91,27.95,2.25,19.19
322,5.41,32.11,0.54,11.89
323,3.24,25.86,4.06,16.75
324,3.84,30.55,0.85,11.25
325,3.66,17.93,2.46,26.23
326,4.4,34.58,2.89,19.47
327,3.5,30.34,1.81,21.38
328,4.87,25.76,1.34,31.77
329,2.97,29.95,1.18,31.82
330,4.43,27.71,4.01,22.78
331,1.58,17.56,3.0,19.93
332,3.44,31.98,0.55,21.93
333,6.11,21.43,4.08,25.44
334,3.83,32.81,3.32,25.3
335,2.36,23.96,3.16,19.16
336,2.69,17.76,3.34,12.05
337,4.07,45.78,0.57,25.14
338,4.17,23.17,0.1,18.47
339,3.41,22.97,2.25,13.76
340,2.87,28.44,3.41,22.49
341,3.93,27.12,0.38,19.66
342,2.55,30.29,2.52,22.76
343,1.89,40.77,3.03,20.16
344,3.09,30.77,1.59,23.32
345,2.23,29.66,-0.55,28.21
346,2.47,35.46,1.28,20.21
347,2.71,25.71,2.85,26.14
348,3.3,40.37,2.69,18.67
349,3.57,20.13,2.98,23.04
350,2.39,24.36,4.31,12.8
351,3.04,21.55,3.6,15.04
352,2.53,19.07,1.78,28.75
353,3.97,20.73,3.32,25.18
354,4.85,33.16,0.53,22.29
355,2.97,35.38,1.26,16.36
356,1.57,26.44,3.26,22.38
357,3.2,20.74,1.22,22.12
358,3.15,31.14,2.87,14.58
359,2.07,33.06,0.56,23.49
360,4.55,21.77,0.61,28.37
361,3.39,39.26,1.94,20.09
362,4.79,26.9,1.19,15.34
363,5.57,22.58,1.43,20.7
364,1.43,29.04,1.1,25.46
365,2.98,26.47,1.01,16.82
366,2.68,31.79,1.67,19.56
367,1.94,27.76,2.58,24.81
368,3.45,27.08,0.6,25.61
369,3.43,34.22,2.81,13.89
370,0.92,31.1,2.81,21.45
371,2.55,18.9,1.78,19.23
372,3.66,34.4,2.44,28.84
373,4.27,27.0,-0.27,19.92
374,3.13,17.88,2.78,19.28
375,4.43,35.3,2.02,18.14
376,2.64,45.63,0.88,23.68
377,2.18,31.1,2.72,20.44
378,2.92,25.94,0.31,28.93
379,3.01,25.36,1.02,13.4
380,1.05,24.35,2.31,14.85
381,1.84,34.81,1.65,13.62
382,3.42,34.76,1.84,21.66
383,1.59,38.93,2.93,25.24
384,4.23,35.85,1.52,17.47
385,4.26,34.45,3.31,16.08
386,3.91,26.45,2.71,18.77
387,3.33,24.13,3.94,23.68
388,4.4,30.65,1.84,24.21
389,4.7,36.57,2.24,15.47
390,3.35,40.86,2.08,16.01
391,4.51,33.59,3.36,26.46
392,3.87,34.28,2.35,11.97
393,4.17,26.98,1.94,17.38
394,2.0,22.73,1.8,18.48
395,4.73,18.5,-0.34,20.46
396,2.19,27.49,0.88,19.71
397,3.22,32.71,2.02,25.9
398,4.06,34.21,1.66,22.13
399,2.98,41.2,1.26,14.24
