,cars_semaphore_delay,cars_delay,walker_semaphore_delay,walkers_delay
308,4.47,24.25,3.18,24.28
309,2.78,33.07,1.99,21.67
310,2.17,21.58,1.29,20.27
311,2.77,25.46,1.14,27.14
312,2.48,36.67,-0.83,16.87
313,3.16,10.69,1.61,12.77
314,2.55,34.58,0.78,23.18
315,4.69,36.07,0.81,20.11
316,1.51,23.17,1.1,15.89
317,2.71,29.05,2.83,24.12
318,1.18,41.27,2.11,21.42
319,1.76,29.24,3.87,16.08
320,2.8,39.34,3.25,21.5
321,2.16,36.89,2.81,27.87
322,3.56,34.02,2.03,26.19
323,1.68,16.09,3.27,26.46
324,3.75,33.31,4.4,16.95
325,4.07,34.33,0.74,18.51
326,1.82,24.6,2.23,13.75
327,1.16,26.82,1.94,13.46
328,3.19,23.81,0.57,20.79
329,4.34,39.12,3.13,10.27
330,2.17,27.07,0.5,22.39
331,2.41,27.69,1.51,24.29
332,4.06,30.61,3.39,21.71
333,3.6,28.53,1.34,14.16
334,2.69,29.77,2.14,20.88
335,3.35,22.31,4.79,17.96
336,4.23,33.66,1.27,29.83
337,2.09,26.25,3.79,24.01
338,3.92,34.66,1.72,22.93
339,3.17,31.84,1.69,24.28
340,1.68,18.62,0.76,11.15
341,3.52,43.45,2.28,18.87
342,3.24,37.79,2.74,19.68
343,3.41,38.12,1.58,23.59
344,2.5,17.52,1.23,17.94
345,2.71,31.56,2.27,20.44
346,1.87,29.2,2.29,21.38
347,3.29,37.06,1.37,25.15
348,2.94,30.2,1.9,16.38
349,4.64,33.09,3.74,22.29
350,6.47,17.85,3.1,18.25
351,3.13,40.7,2.51,10.76
352,1.7,27.65,0.29,22.46
353,2.44,25.8,4.41,19.46
354,2.96,26.56,-0.07,18.38
355,3.06,43.83,2.77,19.49
356,2.06,33.72,3.19,16.09
357,2.62,30.47,3.84,17.66
358,2.15,20.48,4.19,23.36
359,5.28,28.54,1.32,23.97
360,3.72,34.61,1.76,19.07
361,3.07,21.39,0.95,22.0
362,2.92,17.42,1.42,15.32
363,3.77,19.05,2.25,21.14
364,3.11,43.45,1.24,30.18
365,2.92,29.46,1.88,14.49
366,2.05,38.21,1.56,27.52
367,2.29,38.06,2.83,23.57
368,4.66,14.68,1.53,21.27
369,2.34,31.11,2.84,18.91
370,1.49,28.47,-0.14,18.47
371,3.28,31.0,2.84,17.67
372,2.08,30.39,1.9,15.25
373,4.12,28.1,0.82,18.46
374,0.67,34.56,3.5,29.24
375,2.94,34.19,2.03,26.82
376,4.5,25.6,3.16,20.36
377,5.24,9.31,2.31,25.49
378,2.61,26.38,1.54,17.25
379,3.16,30.34,3.16,8.69
380,1.42,31.69,2.64,15.78
381,3.5,21.67,2.61,15.11
382,2.12,28.54,2.04,12.69
383,4.09,34.69,2.06,14.87
384,2.32,36.98,2.59,16.8
385,3.82,32.27,2.72,17.07
386,3.14,28.39,2.64,10.58
387,3.16,30.0,2.38,18.25
388,1.59,34.23,2.3,24.73
389,4.17,29.93,2.11,23.48
390,2.23,27.5,2.15,20.38
391,1.26,26.58,2.57,19.05
392,5.62,21.18,2.18,18.36
393,4.31,27.92,1.22,20.85
394,2.87,32.77,1.12,18.99
395,2.41,31.81,3.23,23.76
396,1.07,33.97,0.63,15.76
397,5.05,24.9,4.1,15.58
398,1.6,28.55,3.12,7.73
399,2.78,22.81,2.78,22.65
